,,,,,,,,,,,,,
Count of Medal,Medal,,,,,,,,,,,,
Edition,Bronze,Gold,Silver,Grand Total,City,Country,,,,,,,
1896,40,64,47,151,Athens,Greece,,,Count of City,,,Count of Country,
1900,142,178,192,512,Paris,France,,,City,Total,,Country,Total games
1904,123,188,159,470,St. Louis,United States,,,Amsterdam,1,,Belgium,1
1908,211,311,282,804,London,United Kingdom,,,Antwerp,1,,Canada,1
1912,284,301,300,885,Stockholm,Sweden,,,Atlanta,1,,China,1
1920,355,497,446,1298,Antwerp,Belgium,,,Barcelona,1,,Finland,1
1924,285,301,298,884,Paris,France,,,Beijing,1,,Germany,1
1928,242,229,239,710,Amsterdam,Netherlands,,,Berlin,1,,Italy,1
1932,196,213,206,615,Los Angeles,United States,,,Helsinki,1,,Japan,1
1936,282,299,294,875,Berlin,Germany,,,Melbourne,1,,Mexico,1
1948,268,276,270,814,London,United Kingdom,,,Mexico City,1,,Netherlands,1
1952,299,300,290,889,Helsinki,Finland,,,Montreal,1,,South Korea,1
1956,297,298,290,885,Melbourne,Australia,,,Moscow,1,,Spain,1
1960,301,295,286,882,Rome,Italy,,,Munich,1,,Sweden,1
1964,343,330,337,1010,Tokyo,Japan,,,Rome,1,,U.S.S.R. (now Russia),1
1968,351,341,339,1031,Mexico City,Mexico,,,Seoul,1,,West Germany (now Germany),1
1972,412,387,386,1185,Munich,West Germany (now Germany),,,St. Louis,1,,Australia,2
1976,447,429,429,1305,Montreal,Canada,,,Stockholm,1,,France,2
1980,472,460,455,1387,Moscow,U.S.S.R. (now Russia),,,Sydney,1,,Greece,2
1984,500,483,476,1459,Los Angeles,United States,,,Tokyo,1,,United Kingdom,2
1988,535,506,505,1546,Seoul,South Korea,,,Athens,2,,United States,4
1992,596,558,551,1705,Barcelona,Spain,,,London,2,,,
1996,634,615,610,1859,Atlanta,United States,,,Los Angeles,2,,,
2000,685,663,667,2015,Sydney,Australia,,,Paris,2,,,
2004,679,659,660,1998,Athens,Greece,,,,,,,
2008,710,669,663,2042,Beijing,China,,,,,,,
Grand Total,9689,9850,9677,29216,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Count of Gender,Medal,Gender,,,,,,,,,,,
,Bronze,,Bronze Total,Gold,,Gold Total,Silver,,Silver Total,Grand Total,,,
Edition,Men,Women,,Men,Women,,Men,Women,,,,,
1896,40,,40,64,,64,47,,47,151,,,
1900,137,5,142,175,3,178,189,3,192,512,,,
1904,121,2,123,182,6,188,155,4,159,470,,,
1908,206,5,211,306,5,311,277,5,282,804,,,
1912,274,10,284,291,10,301,290,10,300,885,,,
1920,341,14,355,482,15,497,432,14,446,1298,,,
1924,269,16,285,284,17,301,280,18,298,884,,,
1928,210,32,242,197,32,229,208,31,239,710,,,
1932,176,20,196,193,20,213,186,20,206,615,,,
1936,254,28,282,271,28,299,266,28,294,875,,,
1948,236,32,268,244,32,276,238,32,270,814,,,
1952,253,46,299,254,46,300,243,47,290,889,,,
1956,248,49,297,252,46,298,239,51,290,885,,,
1960,254,47,301,246,49,295,237,49,286,882,,,
1964,282,61,343,267,63,330,271,66,337,1010,,,
1968,281,70,351,270,71,341,268,71,339,1031,,,
1972,336,76,412,307,80,387,304,82,386,1185,,,
1976,321,126,447,302,127,429,301,128,429,1305,,,
1980,328,144,472,317,143,460,313,142,455,1387,,,
1984,338,162,500,320,163,483,315,161,476,1459,,,
1988,352,183,535,334,172,506,325,180,505,1546,,,
1992,391,205,596,358,200,558,356,195,551,1705,,,
1996,374,260,634,356,259,615,352,258,610,1859,,,
2000,386,299,685,370,293,663,370,297,667,2015,,,
2004,376,303,679,361,298,659,362,298,660,1998,,,
2008,391,319,710,362,307,669,357,306,663,2042,,,
Grand Total,7175,2514,9689,7365,2485,9850,7181,2496,9677,29216,,,
,21721,,,,,,,,,,,,
,Bronze,Silver,Gold,Total,,,,,,,,,
Men,7175,7181,7365,"21,721",,,,,,,,,
Women,2514,2496,2485,"7,495",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Count of Gender,Gender,,,,,,,,,,,,
Year,Men,Women,Grand Total,,,,,,,,,,
1896,151,0,151,,,,,,,,,,
0,501,11,512,,,,,,,,,,
4,458,12,470,,,,,,,,,,
8,789,15,804,,,,,,,,,,
12,855,30,885,,,,,,,,,,
20,1255,43,1298,,,,,,,,,,
24,833,51,884,,,,,,,,,,
28,615,95,710,,,,,,,,,,
32,555,60,615,,,,,,,,,,
36,791,84,875,,,,,,,,,,
48,718,96,814,,,,,,,,,,
52,750,139,889,,,,,,,,,,
56,739,146,885,,,,,,,,,,
60,737,145,882,,,,,,,,,,
64,820,190,1010,,,,,,,,,,
68,819,212,1031,,,,,,,,,,
72,947,238,1185,,,,,,,,,,
76,924,381,1305,,,,,,,,,,
80,958,429,1387,,,,,,,,,,
84,973,486,1459,,,,,,,,,,
88,1011,535,1546,,,,,,,,,,
92,1105,600,1705,,,,,,,,,,
96,1082,777,1859,,,,,,,,,,
0,1126,889,2015,,,,,,,,,,
4,1099,899,1998,,,,,,,,,,
8,1110,932,2042,,,,,,,,,,
Grand Total,21721,7495,29216,,,,,,,,,,